epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,533.16,1.10156,1.00876,1.44961,0.58706,0.6654,0.62261,0.38667,1.32144,1.21121,1.61467,0.000581,0.000581,0.000581
45,545.439,1.12182,1.02488,1.43794,0.59803,0.61802,0.62571,0.38615,1.32759,1.19489,1.62531,0.000548,0.000548,0.000548
46,557.526,1.09659,0.99043,1.43633,0.57929,0.67293,0.63842,0.39022,1.34099,1.21228,1.63084,0.000515,0.000515,0.000515
47,569.635,1.099,1.00545,1.42919,0.62822,0.60338,0.62286,0.38279,1.34312,1.22166,1.62012,0.000482,0.000482,0.000482
48,581.698,1.09183,0.98021,1.42764,0.61765,0.67481,0.64389,0.39292,1.33592,1.17933,1.62706,0.000449,0.000449,0.000449
49,593.789,1.08441,0.97292,1.42062,0.63476,0.6109,0.64494,0.40468,1.31911,1.19059,1.6041,0.000416,0.000416,0.000416
50,605.89,1.05476,0.95145,1.40748,0.60185,0.68797,0.65486,0.4012,1.32902,1.13574,1.60761,0.000383,0.000383,0.000383
51,618.101,1.06278,0.92684,1.42599,0.59128,0.71241,0.66442,0.41324,1.32564,1.11573,1.60916,0.00035,0.00035,0.00035
52,630.074,1.0275,0.87838,1.41226,0.63197,0.63346,0.66065,0.41882,1.32806,1.15175,1.6098,0.000317,0.000317,0.000317
53,641.989,1.03847,0.87808,1.40578,0.65947,0.61654,0.64521,0.40369,1.32947,1.15392,1.59913,0.000284,0.000284,0.000284
54,653.882,1.01797,0.85048,1.39192,0.62616,0.6485,0.64877,0.40918,1.32398,1.15254,1.61331,0.000251,0.000251,0.000251
55,665.798,1.02483,0.86127,1.40744,0.62332,0.64662,0.647,0.41259,1.32239,1.16495,1.60651,0.000218,0.000218,0.000218
56,677.68,0.99128,0.83444,1.38,0.64713,0.65602,0.65378,0.4157,1.30422,1.12798,1.59158,0.000185,0.000185,0.000185
57,689.552,0.99707,0.82631,1.37841,0.64108,0.66476,0.66397,0.41941,1.29297,1.12132,1.58166,0.000152,0.000152,0.000152
58,701.522,1.00292,0.8255,1.37656,0.60813,0.68421,0.66101,0.41671,1.30139,1.13766,1.5862,0.000119,0.000119,0.000119
59,713.405,0.98376,0.81883,1.37448,0.64928,0.64662,0.66133,0.42211,1.29457,1.1275,1.59005,8.6e-05,8.6e-05,8.6e-05
60,725.309,0.97669,0.8053,1.36068,0.65148,0.6485,0.66852,0.42177,1.3029,1.12308,1.59397,5.3e-05,5.3e-05,5.3e-05
